firm_name,type,sra_id,is_sra_regulated,telephone,email,website,profile_url,address_raw,city,county,postal_code,country,google_map,areas_of_practice_branch,areas_of_practice_org,languages_at_branch,languages_at_org,accreditations,total_people,total_solicitors,total_sra_managers,total_offices,has_disabled_access,has_induction_loops,accepts_legal_aid,provides_sign_language
LawHer & Co Ltd,Recognised body law practice,8000839,True,01727222290,info@lawher.co.uk,http://www.lawher.co.uk,https://solicitors.lawsociety.org.uk/office/24161/lawher-co-ltd,"Address
29 Ridgmont Road, St Albans, AL1 3AG, England","Address
29 Ridgmont Road",St Albans,AL1 3AG,England,https://maps.google.co.uk/maps?q=AL1%203AG,Missing,Missing,Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
Mitchell Solicitors,Recognised body law practice,490596,True,01582 414002,Missing,http://mitchell-solicitors.co.uk,https://solicitors.lawsociety.org.uk/office/467296/mitchell-solicitors,"Address
Fountain Court, 2 Victoria Square, Victoria Street, St Albans, Hertfordshire, AL1 3TF, England",St Albans,Hertfordshire,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,"Advocacy, Higher courts rights - criminal, Criminal Litigation, Crime - fraud, Crime - general, Criminal Litigation, Higher courts rights - criminal, Litigation - general, Media, entertainment and sport","Advocacy, Higher courts rights - criminal, Criminal Litigation, Crime - fraud, Higher courts rights - criminal, Criminal Litigation, Crime - general, Criminal Litigation, Higher courts rights - criminal, Litigation - general, Higher courts rights - civil, Media, entertainment and sport",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
Moore SGD Law LLP,Licensed body law practice (ABS),8014809,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/63389/moore-sgd-law-llp,"Address
4 Victoria Square, St Albans, AL1 3TF, England","Address
4 Victoria Square",St Albans,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
ONHAND COUNSEL LIMITED,Recognised body law practice,498653,True,01727867289,andrew.james@onhandcounsel.co.uk,http://www.onhandcounsel.co.uk,https://solicitors.lawsociety.org.uk/office/468909/onhand-counsel-limited,"Address
114A Old London Road, St. Albans, Hertfordshire, AL1 1PU, England",St. Albans,Hertfordshire,AL1 1PU,England,https://maps.google.co.uk/maps?q=AL1%201PU,"Company and commercial, Corporate finance, Mergers and acquisitions","Company and commercial, Corporate finance, Mergers and acquisitions",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
POOLE ALCOCK LLP,Licensed body law practice (ABS),8008881,True,01727222450,Missing,Missing,https://solicitors.lawsociety.org.uk/office/41749/poole-alcock-llp,"Address
Fountain Court, 2 Victoria Square, Victoria Street, St. Albans, AL1 3TF, England",Victoria Street,St. Albans,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,Missing,"Advocacy, Agriculture, Commercial litigation, Commercial property, Consumer, Conveyancing - residential, Conveyancing Quality Scheme, Corporate finance, Crime - fraud, Criminal Litigation, Higher courts rights - criminal, Crime - general, Criminal Litigation, Higher courts rights - criminal, Employment, Family - general, Landlord and tenant - residential, Licensing gaming and betting, Litigation - general, Mergers and acquisitions, Personal injury, Planning, Private client - Probate, Private client - trusts, Private client - Wills, Tax",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
RISE LEGAL (STB) LIMITED,Licensed body law practice (ABS),650290,True,01727226336,hello@rise-legal.com,http://www.rise-legal.com,https://solicitors.lawsociety.org.uk/office/613883/rise-legal-stb-limited,"Address
2 Fountain Court, Victoria Square, St. Albans, Hertfordshire, AL1 3TF, England",St. Albans,Hertfordshire,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,"Commercial property, Conveyancing - residential, Conveyancing Quality Scheme, Family - general, Landlord and tenant - residential, Litigation - general, Private client - Probate, Private client - Wills","Commercial property, Conveyancing - residential, Conveyancing Quality Scheme, Family - general, Landlord and tenant - residential, Litigation - general, Private client - Probate, Private client - Wills",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
SONY SADAF HAROON LIMITED,Licensed body law practice (ABS),635480,True,01727568353,info@sonylaw.com,http://www.sonylaw.com,https://solicitors.lawsociety.org.uk/office/599720/sony-sadaf-haroon-limited-,"Address
Capstan House, 182-184 Hatfield Road, Hertforshire, Hertfordshire, AL1 4JG, England",Hertforshire,Hertfordshire,AL1 4JG,England,https://maps.google.co.uk/maps?q=AL1%204JG,Missing,Missing,Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
STOWE FAMILY LAW LLP,Licensed body law practice (ABS),619543,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/577505/stowe-family-law-llp,"Address
Clockhouse Court, Second Floor, Suite 7, 5-7 London Road, St Albans, Hertfordshire, AL1 3TF, England",St Albans,Hertfordshire,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,"Advocacy, Children, Commercial litigation, Crime - general, Family - general, Family - mediation, Litigation - general, Mental health, Neighbour disputes, Private client - Probate, Private client - trusts, Private client - Wills, Tax","Advocacy, Children, Commercial litigation, Crime - general, Family - general, Family, Family - Advanced, Family - mediation, Litigation - general, Higher courts rights - civil, Mental health, Neighbour disputes, Private client - Probate, Private client - trusts, Private client - Wills, Tax",Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
Surrogacy Lawyers Limited,Recognised body law practice,597065,True,01727884688,harjit@surrogacylawyers.co.uk,http://www.surrogacylawyers.co.uk,https://solicitors.lawsociety.org.uk/office/543667/surrogacy-lawyers-limited,"Address
2 Victoria Square, Victoria Street, St. Albans, Hertfordshire, AL1 3TF, England",St. Albans,Hertfordshire,AL1 3TF,England,https://maps.google.co.uk/maps?q=AL1%203TF,"Children, Family - general, Litigation - general","Children, Family - general, Litigation - general",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
Crown Prosecution Service Hertfordshire,Not an SRA-regulated law practice,304324,True,01727798700,thameschiltern.abc@cps.gov.uk,Missing,https://solicitors.lawsociety.org.uk/office/441330/crown-prosecution-service-hertfordshire,"Address
Verulam Point, Station Way, St Albans, Hertfordshire, AL1 5HE, England",St Albans,Hertfordshire,AL1 5HE,England,https://maps.google.co.uk/maps?q=AL1%205HE,"Advocacy, Higher courts rights - criminal, Criminal Litigation, Benefits and allowances, Commercial litigation, Crime - fraud, Higher courts rights - criminal, Criminal Litigation, Crime - general, Criminal Litigation, Higher courts rights - criminal, Employment, Family - general, Insolvency and restructuring - business, Litigation - general, Higher courts rights - civil","Advocacy, Criminal Litigation, Higher courts rights - criminal, Benefits and allowances, Commercial litigation, Crime - fraud, Criminal Litigation, Higher courts rights - criminal, Crime - general, Higher courts rights - criminal, Criminal Litigation, Employment, Family - general, Insolvency and restructuring - business, Litigation - general, Higher courts rights - civil",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
BRYAN & MERCER LTD,Recognised body law practice,533924,True,01727861414,enquiries@bryanandmercer.co.uk,http://www.bryanandmercer.co.uk,https://solicitors.lawsociety.org.uk/office/473327/bryan-mercer-ltd,"Address
59 London Road, St. Albans, Hertfordshire, AL1 1LJ, England",St. Albans,Hertfordshire,AL1 1LJ,England,https://maps.google.co.uk/maps?q=AL1%201LJ,"Commercial property, Conveyancing - residential, Conveyancing Quality Scheme, Private client - Probate, Private client - trusts, Private client - Wills","Commercial property, Conveyancing - residential, Conveyancing Quality Scheme, Private client - Probate, Private client - trusts, Private client - Wills",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
CHARROT LIMITED,Recognised body law practice,597526,True,07793849100,mark.glenister@jpplaw.co.uk,Missing,https://solicitors.lawsociety.org.uk/office/544429/charrot-limited,"Address
58 Lattimore Road, St. Albans, Hertfordshire, AL1 3XW, England",St. Albans,Hertfordshire,AL1 3XW,England,https://maps.google.co.uk/maps?q=AL1%203XW,"Banking, Company and commercial, Corporate finance, Debt and bankruptcy - personal, Debt recovery, Energy and natural resources, Financial services","Banking, Company and commercial, Corporate finance, Debt and bankruptcy - personal, Debt recovery, Energy and natural resources, Financial services",Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
JPP LAW LLP,Recognised body law practice,597525,True,07793849100,mark.glenister@jpplaw.co.uk,http://www.jpplaw.co.uk,https://solicitors.lawsociety.org.uk/office/544432/jpp-law-llp,"Address
58 Lattimore Road, St. Albans, Hertfordshire, AL1 3XW, England",St. Albans,Hertfordshire,AL1 3XW,England,https://maps.google.co.uk/maps?q=AL1%203XW,"Banking, Commercial litigation, Company and commercial, Consumer, Corporate finance, Debt and bankruptcy - personal, Debt recovery, Employment, Energy and natural resources, Financial services, Litigation - general","Banking, Commercial litigation, Company and commercial, Consumer, Corporate finance, Debt and bankruptcy - personal, Debt recovery, Employment, Energy and natural resources, Financial services, Litigation - general",Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
Moore SGD Law LLP,Licensed body law practice (ABS),8014811,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/63390/moore-sgd-law-llp,"Address
4 Beaconsfield Road, St Albans, AL1 3RD, England","Address
4 Beaconsfield Road",St Albans,AL1 3RD,England,https://maps.google.co.uk/maps?q=AL1%203RD,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
PIZZA HUT EUROPE LIMITED,Not an SRA-regulated law practice,639141,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/50574/pizza-hut-europe-limited,"Address
2, Abbey View, Everard Close, St. Albans, AL1 2QU, England",Everard Close,St. Albans,AL1 2QU,England,https://maps.google.co.uk/maps?q=AL1%202QU,Missing,Missing,Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
SHERRARDS SOLICITORS LLP,Recognised body law practice,533210,True,01727832830,law@sherrards.com,http://www.sherrards.com,https://solicitors.lawsociety.org.uk/office/473122/sherrards-solicitors-llp,"Address
First Floor, 4 Beaconsfield Road, St. Albans, Hertfordshire, AL1 3RD, England",St. Albans,Hertfordshire,AL1 3RD,England,https://maps.google.co.uk/maps?q=AL1%203RD,"Banking, Charities, Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Corporate finance, Crime - fraud, Higher courts rights - criminal, Crime - general, Higher courts rights - criminal, Cross-border, Debt and bankruptcy - personal, Debt recovery, Dispute resolution - civil mediation, Dispute resolution - commercial mediation, Employment, Environment, Family - general, Insolvency and restructuring - business, Intellectual property, Landlord and tenant - residential, Licensing gaming and betting, Litigation - general, Media, entertainment and sport, Mergers and acquisitions, Neighbour disputes, Private client - Probate, Private client - trusts, Private client - Wills, Professional negligence, Tax","Banking, Charities, Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Corporate finance, Crime - fraud, Higher courts rights - criminal, Crime - general, Higher courts rights - criminal, Cross-border, Debt and bankruptcy - personal, Debt recovery, Dispute resolution - civil mediation, Dispute resolution - commercial mediation, Employment, Environment, Family - general, Insolvency and restructuring - business, Intellectual property, Landlord and tenant - residential, Licensing gaming and betting, Litigation - general, Media, entertainment and sport, Mergers and acquisitions, Neighbour disputes, Private client - Probate, Private client - trusts, Private client - Wills, Professional negligence, Tax",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
YUM! III (UK) LIMITED,Not an SRA-regulated law practice,629941,True,01727251100,lucy.powell@yum.com,Missing,https://solicitors.lawsociety.org.uk/office/596138/yum-iii-uk-limited,"Address
Building 2, Abbey View, Everard Close, St. Albans, Hertfordshire, AL1 2QU, England",St. Albans,Hertfordshire,AL1 2QU,England,https://maps.google.co.uk/maps?q=AL1%202QU,Missing,Missing,Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
AECOM Limited,Not an SRA-regulated law practice,389054,True,Missing,Missing,http://www.aecom.com,https://solicitors.lawsociety.org.uk/office/494990/aecom-limited,"Address
Aecom House, 63-77 Victoria Street, St. Albans, Hertfordshire, AL1 3ER, England",St. Albans,Hertfordshire,AL1 3ER,England,https://maps.google.co.uk/maps?q=AL1%203ER,"Commercial litigation, Company and commercial, Construction, Corporate finance, Cross-border, Energy and natural resources, Mergers and acquisitions","Commercial litigation, Company and commercial, Construction, Corporate finance, Cross-border, Energy and natural resources, Mergers and acquisitions",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
PREMIER FOODS PLC,Not an SRA-regulated law practice,488226,True,01727815850,simon.rose@premierfoods.co.uk,http://www.premierfoods.co.uk,https://solicitors.lawsociety.org.uk/office/505902/premier-foods-plc,"Address
Centrium Business Park, Griffiths Way, St. Albans, Hertfordshire, AL1 2RE, England",St. Albans,Hertfordshire,AL1 2RE,England,https://maps.google.co.uk/maps?q=AL1%202RE,"Commercial litigation, Company and commercial, Corporate finance, Employment, Intellectual property, Mergers and acquisitions, Technology","Commercial litigation, Company and commercial, Corporate finance, Employment, Intellectual property, Mergers and acquisitions, Technology",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
TAYLOR WALTON LLP,Recognised body law practice,465615,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/463716/taylor-walton-llp,"Address
Thornycroft House, 107 Holywell Hill, St. Albans, Hertfordshire, AL1 1HQ, England",St. Albans,Hertfordshire,AL1 1HQ,England,https://maps.google.co.uk/maps?q=AL1%201HQ,"Advocacy, Banking, Commercial litigation, Commercial property, Company and commercial, Construction, Conveyancing - residential, Corporate finance, Debt and bankruptcy - personal, Debt recovery, Dispute resolution - civil mediation, Dispute resolution - commercial mediation, Employment, Environment, Family - general, Family - mediation, Insolvency and restructuring - business, Insurance, Intellectual property, Landlord and tenant - residential, Licensing gaming and betting, Litigation - general, Mergers and acquisitions, Planning, Private client - Probate, Private client - trusts, Private client - Wills, Professional negligence, Tax, Technology","Advocacy, Banking, Commercial litigation, Commercial property, Company and commercial, Construction, Conveyancing - residential, Conveyancing Quality Scheme, Corporate finance, Debt and bankruptcy - personal, Debt recovery, Dispute resolution - civil mediation, Dispute resolution - commercial mediation, Employment, Environment, Family - general, Family - mediation, Insolvency and restructuring - business, Insurance, Intellectual property, Landlord and tenant - residential, Licensing gaming and betting, Litigation - general, Mergers and acquisitions, Planning, Private client - Probate, Wills and Inheritance Quality Scheme, Private client - trusts, Private client - Wills, Wills and Inheritance Quality Scheme, Professional negligence, Tax, Technology",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
ABBEYFIELD SOCIETY (THE),Not an SRA-regulated law practice,523896,True,01727857536,Missing,Missing,https://solicitors.lawsociety.org.uk/office/507404/abbeyfield-society-the-,"Address
St Peter'S House, 2 Bricket Road, St. Albans, Hertfordshire, AL1 3JW, England",St. Albans,Hertfordshire,AL1 3JW,England,https://maps.google.co.uk/maps?q=AL1%203JW,"Administrative and public law, Charities, Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Crime - fraud, Employment, Intellectual property, Landlord and tenant - residential, Litigation - general, Mergers and acquisitions","Administrative and public law, Charities, Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Crime - fraud, Employment, Intellectual property, Landlord and tenant - residential, Litigation - general, Mergers and acquisitions",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
BK Law LLP,Recognised body law practice,8012434,True,01727840900,Missing,Missing,https://solicitors.lawsociety.org.uk/office/49673/bk-law-llp,"Address
5 Holywell Hill, St. Albans, AL1 1EU, England","Address
5 Holywell Hill",St. Albans,AL1 1EU,England,https://maps.google.co.uk/maps?q=AL1%201EU,Missing,"Advocacy, Higher courts rights - criminal, Criminal Litigation, Crime - fraud, Higher courts rights - criminal, Criminal Litigation, Crime - general, Criminal Litigation, Higher courts rights - criminal",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
BK Law LLP,Recognised body law practice,8012435,True,01727840900,Missing,Missing,https://solicitors.lawsociety.org.uk/office/49674/bk-law-llp,"Address
5 Holywell Hill, St. Albans, AL1 1EU, England","Address
5 Holywell Hill",St. Albans,AL1 1EU,England,https://maps.google.co.uk/maps?q=AL1%201EU,Missing,"Advocacy, Higher courts rights - criminal, Criminal Litigation, Crime - fraud, Higher courts rights - criminal, Criminal Litigation, Crime - general, Criminal Litigation, Higher courts rights - criminal",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
ERIC COATES,Recognised sole practice law practice,79008,True,01727848231,Missing,Missing,https://solicitors.lawsociety.org.uk/office/419445/eric-coates,"Address
15 St. Peters Road, St. Albans, Hertfordshire, AL1 3SA, England",St. Albans,Hertfordshire,AL1 3SA,England,https://maps.google.co.uk/maps?q=AL1%203SA,"Commercial litigation, Commercial property, Debt and bankruptcy - personal, Debt recovery, Litigation - general","Commercial litigation, Commercial property, Debt and bankruptcy - personal, Debt recovery, Litigation - general",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
KJS SOLICITORS LIMITED,Licensed body law practice (ABS),8001843,True,01727295555,stalbans@kjsmith.co.uk,Missing,https://solicitors.lawsociety.org.uk/office/26291/kjs-solicitors-limited,"Address
Pilgrims Lodge, 1A Holywell Hill, St. Albans, AL1 1ER, England",1A Holywell Hill,St. Albans,AL1 1ER,England,https://maps.google.co.uk/maps?q=AL1%201ER,Missing,"Advocacy, Charities, Children, Commercial litigation, Company and commercial, Corporate finance, Family - general, Family, Family - mediation, Litigation - general, Mergers and acquisitions, Private client - Probate, Private client - Wills, Professional negligence",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
PHOTIADES SOLICITORS LTD,Recognised body law practice,568127,True,01727833134,willharvey@photiades.com,http://www.photiades.com,https://solicitors.lawsociety.org.uk/office/529696/photiades-solicitors-ltd,"Address
Longmire House, 36-38 London Road, St. Albans, Hertfordshire, AL1 1NG, England",St. Albans,Hertfordshire,AL1 1NG,England,https://maps.google.co.uk/maps?q=AL1%201NG,"Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Debt and bankruptcy - personal, Debt recovery, Employment, Family - general, Family - mediation, Licensing gaming and betting, Litigation - general, Personal injury, Private client - Probate, Private client - Wills","Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Debt and bankruptcy - personal, Debt recovery, Employment, Family - general, Family - mediation, Licensing gaming and betting, Litigation - general, Personal injury, Private client - Probate, Private client - Wills",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
SA Law LLP,Licensed body law practice (ABS),421442,True,01727798000,robert.ryall@salaw.com,http://www.salaw.com,https://solicitors.lawsociety.org.uk/office/456693/sa-law-llp,"Address
Gladstone Place, 36-38 Upper Marlborough Road, St. Albans, Hertfordshire, AL1 3UU, England",St. Albans,Hertfordshire,AL1 3UU,England,https://maps.google.co.uk/maps?q=AL1%203UU,"Advocacy, Children, Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Corporate finance, Debt and bankruptcy - personal, Debt recovery, Defamation, Dispute resolution - civil mediation, Dispute resolution - commercial mediation, Employment, European Community law, Family - general, Mediation - Family, Family - Advanced, Family - mediation, Mediation - Family, Immigration - asylum, Immigration - general, Immigration - nationality and citizenship, Insolvency and restructuring - business, Intellectual property, Landlord and tenant - residential, Media, entertainment and sport, Mergers and acquisitions, Neighbour disputes, Private client - Probate, Private client - Wills, Professional negligence","Advocacy, Children, Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Corporate finance, Debt and bankruptcy - personal, Debt recovery, Defamation, Dispute resolution - civil mediation, Dispute resolution - commercial mediation, Employment, European Community law, Family - general, Mediation - Family, Family - Advanced, Family - mediation, Mediation - Family, Immigration - asylum, Immigration - general, Immigration - nationality and citizenship, Insolvency and restructuring - business, Intellectual property, Landlord and tenant - residential, Media, entertainment and sport, Mergers and acquisitions, Neighbour disputes, Private client - Probate, Private client - Wills, Professional negligence",Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
SPREADEX LIMITED,Not an SRA-regulated law practice,515934,True,01727895000,Missing,Missing,https://solicitors.lawsociety.org.uk/office/490118/spreadex-limited,"Address
Churchill House, Upper Marlborough Road, St. Albans, Hertfordshire, AL1 3UU, England",St. Albans,Hertfordshire,AL1 3UU,England,https://maps.google.co.uk/maps?q=AL1%203UU,Missing,Missing,Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
Missing,Missing,Missing,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/46042/motor-fuel-group,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
His Majesty's Court Service (Kent),Not an SRA-regulated law practice,646775,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/46657/his-majestys-court-service-kent-,"Address
Court House, Civic Centre, St. Peters Street, St. Albans, AL1 3LB, England",St. Peters Street,St. Albans,AL1 3LB,England,https://maps.google.co.uk/maps?q=AL1%203LB,Missing,"Children, Crime - general, Family - general, Licensing gaming and betting",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
